id;filename;text;augmentation_type;difficulté_verbalisation;
109_contextual;Entretien 01 24.10.03 01_traitement_A;Gros coup, le verre avec le bo-ver original et autres p o.;contextual;0.0;
109_original;Entretien 01 24.10.03 01_traitement_A;Du coup, le verre avec le coupe-verre et la pige.;original;0.0;
109_swap;Entretien 01 24.10.03 01_traitement_A;Du coup, le verre avec coupe le verre - et la. pige;swap;0.0;
109_translation;Entretien 01 24.10.03 01_traitement_A;Le verre avec le coupe-verre et le pigeon.;translation;0.0;
10_contextual;Entretien 01 24.10.03 01_traitement_A;Du coup, mardi matin, ça devrait plutôt faire'atelier vers, chacun sa part, 7h.;contextual;0.0;
10_original;Entretien 01 24.10.03 01_traitement_A;Du coup, le matin, on arrivait à l'atelier vers, pour ma part, 7h.;original;0.0;
10_swap;Entretien 01 24.10.03 01_traitement_A;Du coup, le matin, arrivait on à l ' atelier, vers pour, ma part 7h.;swap;0.0;
10_translation;Entretien 01 24.10.03 01_traitement_A;Alors on est arrivés à l'atelier le matin, à 7 h, pour moi.;translation;0.0;
110_contextual;Entretien 01 24.10.03 01_traitement_A;On vient mettre aussi de l' bois de coupe pour fais glisser la roulette en tungsten qui permet d'ouvrir plus facilement ton verre et de le faire rebondir plus lieu de faire la chute car y' aura pas trop d'intérêt et qui risque de le faire filer.;contextual;0.0;
110_original;Entretien 01 24.10.03 01_traitement_A;On vient mettre aussi de l'huile de coupe pour faire glisser la roulette en tungsten qui permet d'ouvrir plus facilement le verre et de le faire filer au lieu de faire une griffe qui n'a pas trop d'intérêt et qui risque de le faire filer.;original;0.0;
110_swap;Entretien 01 24.10.03 01_traitement_A;On vient mettre aussi l de ' huile de pour coupe faire glisser la roulette en tungsten qui permet d ' ouvrir plus facilement verre le de et le filer faire au lieu faire de une qui griffe n ' a pas trop d ' et intérêt qui risque de le faire filer.;swap;0.0;
110_translation;Entretien 01 24.10.03 01_traitement_A;L'huile de coupe est également utilisée pour pousser la roulette de tungstène qui ouvre plus facilement le verre et le lance à la surface au lieu de faire une griffe qui n'a pas trop d'intérêt et qui peut disparaître.;translation;0.0;
111_contextual;Entretien 01 24.10.03 01_traitement_A;Ce ne coupe pas réellement finalement je n' rien perdu d' bouton de coupe.;contextual;0.0;
111_original;Entretien 01 24.10.03 01_traitement_A;Ça ne coupe pas réellement quand on n'a pas d'huile de coupe.;original;0.0;
111_swap;Entretien 01 24.10.03 01_traitement_A;Ça coupe pas réellement ne quand on n ' a pas d ' coupe huile. de;swap;0.0;
111_translation;Entretien 01 24.10.03 01_traitement_A;Ça ne coupe pas vraiment quand on n'a pas d'huile de coupe.;translation;0.0;
112_contextual;Entretien 01 24.10.03 01_traitement_A;Inclus, c' existe pour chaque coupe 1 verre.;contextual;0.0;
112_original;Entretien 01 24.10.03 01_traitement_A;Ça, c'est pour la coupe de verre.;original;0.0;
112_swap;Entretien 01 24.10.03 01_traitement_A;, ça c ' est pour la de. coupe verre;swap;0.0;
112_translation;Entretien 01 24.10.03 01_traitement_A;C'est pour la coupe de verre.;translation;0.0;
113_contextual;Entretien 01 24.10.03 01_traitement_A;Et puis, dès la mise à plomb, on installe un couteau sans plomb.;contextual;0.0;
113_original;Entretien 01 24.10.03 01_traitement_A;Et ensuite, pour la mise en plomb, on prend un couteau à plomb.;original;0.0;
113_swap;Entretien 01 24.10.03 01_traitement_A;Et, ensuite pour la mise plomb en, on prend couteau un à plomb.;swap;0.0;
113_translation;Entretien 01 24.10.03 01_traitement_A;Et on prendra un couteau à plomb.;translation;0.0;
114_contextual;Entretien 01 24.10.03 01_traitement_A;C' était une espèce une légèrerpette assez petite comme machine.;contextual;0.0;
114_original;Entretien 01 24.10.03 01_traitement_A;C'est une espèce de serpette assez longue comme ça.;original;0.0;
114_swap;Entretien 01 24.10.03 01_traitement_A;C ' une est espèce serpette de longue assez comme. ça;swap;0.0;
114_translation;Entretien 01 24.10.03 01_traitement_A;C'est un chapeau assez long.;translation;0.0;
115_contextual;Entretien 01 24.10.03 01_traitement_A;Quel'est effectivement joli cadeau.;contextual;0.0;
115_original;Entretien 01 24.10.03 01_traitement_A;C'est un joli outil.;original;0.0;
115_swap;Entretien 01 24.10.03 01_traitement_A;' c un est outil joli.;swap;0.0;
115_translation;Entretien 01 24.10.03 01_traitement_A;C'est un joli outil.;translation;0.0;
116_contextual;Entretien 01 24.10.03 01_traitement_A;De coup, on coupe le fil avec le foret pour plomb.;contextual;0.0;
116_original;Entretien 01 24.10.03 01_traitement_A;Du coup, on coupe le plomb avec le couteau à plomb.;original;0.0;
116_swap;Entretien 01 24.10.03 01_traitement_A;Coup du on, coupe le avec plomb le couteau plomb à.;swap;0.0;
116_translation;Entretien 01 24.10.03 01_traitement_A;On coupera le plomb avec le couteau.;translation;0.0;
117_contextual;Entretien 01 24.10.03 01_traitement_A;L'est précisément ce maintenant'on utilise sur la mise sans plomb.;contextual;0.0;
117_original;Entretien 01 24.10.03 01_traitement_A;C'est tout ce qu'on utilise pour la mise en plomb.;original;0.0;
117_swap;Entretien 01 24.10.03 01_traitement_A;C ' est tout qu ce on ' utilise pour la en mise plomb.;swap;0.0;
117_translation;Entretien 01 24.10.03 01_traitement_A;C'est tout ce que nous utilisons pour l'utilisation du plomb.;translation;0.0;
118_contextual;Entretien 01 24.10.03 01_traitement_A;Quand quiconque a fini le vit à 7, on vient rabattre les 2ères en un demi-plomb.;contextual;0.0;
118_original;Entretien 01 24.10.03 01_traitement_A;Quand on a fini le vitrail, on vient rabattre les plombs avec un rabat-plomb.;original;0.0;
118_swap;Entretien 01 24.10.03 01_traitement_A;Quand a on le vitrail fini, on vient rabattre les plombs avec - un plomb rabat.;swap;0.0;
118_translation;Entretien 01 24.10.03 01_traitement_A;Une fois qu'on aura fini la fenêtre, on fera une valve.;translation;0.0;
119_contextual;Entretien 01 24.10.03 01_traitement_A;Après si, on peut aussi ouvrir les tanques pour un serre-plomb.;contextual;0.0;
119_original;Entretien 01 24.10.03 01_traitement_A;Ah oui, on peut aussi ouvrir les plombs avec un ouvre-plomb.;original;0.0;
119_swap;Entretien 01 24.10.03 01_traitement_A;Oui ah, peut on aussi les ouvrir plombs un ouvre avec - plomb.;swap;0.0;
119_translation;Entretien 01 24.10.03 01_traitement_A;Oui, on peut ouvrir l'esprit avec un ouvre-porte.;translation;0.0;
11_contextual;Entretien 01 24.10.03 01_traitement_A;Chacun viendra avec horaires une peu différents.;contextual;0.0;
11_original;Entretien 01 24.10.03 01_traitement_A;Chacun avait des horaires un peu différents.;original;0.0;
11_swap;Entretien 01 24.10.03 01_traitement_A;Chacun avait un des horaires différents peu.;swap;0.0;
11_translation;Entretien 01 24.10.03 01_traitement_A;Tout le monde a eu un peu d'heures de travail différentes.;translation;0.0;
120_contextual;Entretien 01 24.10.03 01_traitement_A;C' arrivée à...;contextual;3.0;
120_original;Entretien 01 24.10.03 01_traitement_A;C'est très...;original;3.0;
120_swap;Entretien 01 24.10.03 01_traitement_A;Est c '. très..;swap;3.0;
120_translation;Entretien 01 24.10.03 01_traitement_A;C'est très...;translation;3.0;
121_contextual;Entretien 01 24.10.03 01_traitement_A;Elle ne se prendra JAMAIS la tête.;contextual;0.0;
121_original;Entretien 01 24.10.03 01_traitement_A;On ne se casse pas la tête.;original;0.0;
121_swap;Entretien 01 24.10.03 01_traitement_A;Ne on se casse la tête pas.;swap;0.0;
121_translation;Entretien 01 24.10.03 01_traitement_A;On ne va pas se casser la tête.;translation;0.0;
122_contextual;Entretien 01 24.10.03 01_traitement_A;Il y a 3 ustensiles presque rien drôles, mais bon, c' le couteau de beurre, ouvre-plomb, rabat-plomb.;contextual;0.0;
122_original;Entretien 01 24.10.03 01_traitement_A;Il y a des mots un peu techniques, mais ça, c'est couteau à plomb, ouvre-plomb, rabat-plomb.;original;0.0;
122_swap;Entretien 01 24.10.03 01_traitement_A;Y il a mots un des techniques peu, mais ça, c ' à couteau est, plomb ouvre -, plomb rabat - plomb.;swap;0.0;
122_translation;Entretien 01 24.10.03 01_traitement_A;Il y a des mots techniques, mais c'est un couteau à plomb, un rabat, un rabat.;translation;0.0;
123_contextual;Entretien 01 24.10.03 01_traitement_A;Enfin du coup, il rabat tous nos plombles.;contextual;0.0;
123_original;Entretien 01 24.10.03 01_traitement_A;Et du coup, on rabat tous les plombs.;original;0.0;
123_swap;Entretien 01 24.10.03 01_traitement_A;Et du on coup rabat, tous les plombs.;swap;0.0;
123_translation;Entretien 01 24.10.03 01_traitement_A;Et nous devenons tous fous.;translation;0.0;
124_contextual;Entretien 01 24.10.03 01_traitement_A;Et avant, dans ma deuxième addition, on vient mettre une petite dose d'oléine.;contextual;0.0;
124_original;Entretien 01 24.10.03 01_traitement_A;Et ensuite, à chaque intersection, on vient mettre une petite goutte d'oléine.;original;0.0;
124_swap;Entretien 01 24.10.03 01_traitement_A;Et ensuite, à chaque intersection, vient mettre on une goutte petite ' d oléine.;swap;0.0;
124_translation;Entretien 01 24.10.03 01_traitement_A;Et puis, à chaque croisement, il y a une petite goutte d'huile.;translation;0.0;
125_contextual;Entretien 01 24.10.03 01_traitement_A;C'est ce graisse qui permet à l en acier inoxydable' durcih convenablement.;contextual;0.0;
125_original;Entretien 01 24.10.03 01_traitement_A;C'est une graisse qui permet à l’étain d'adhérer.;original;0.0;
125_swap;Entretien 01 24.10.03 01_traitement_A;' c est graisse une qui permet l à étain d ’ ' adhérer.;swap;0.0;
125_translation;Entretien 01 24.10.03 01_traitement_A;C'est une graisse qui relie l'étain.;translation;0.0;
126_contextual;Entretien 01 24.10.03 01_traitement_A;Et on prend demi baguette d’étain de deux fer à souder et on par chercher quelque petite boule qui neuve.;contextual;0.0;
126_original;Entretien 01 24.10.03 01_traitement_A;Et on prend une baguette d’étain avec le fer à souder et on vient faire une petite boule comme ça.;original;0.0;
126_swap;Entretien 01 24.10.03 01_traitement_A;Et prend on une baguette d ’ étain avec le à fer souder on et faire vient une petite boule comme. ça;swap;0.0;
126_translation;Entretien 01 24.10.03 01_traitement_A;Et on prend un bâton d'étain avec le fer à souder et on fait une petite balle.;translation;0.0;
127_contextual;Entretien 01 24.10.03 01_traitement_A;Oui, tout exige une grosse soudure.;contextual;0.0;
127_original;Entretien 01 24.10.03 01_traitement_A;Oui, ça fait une petite soudure.;original;0.0;
127_swap;Entretien 01 24.10.03 01_traitement_A;Oui, ça fait une soudure petite.;swap;0.0;
127_translation;Entretien 01 24.10.03 01_traitement_A;Oui, c'est une petite soudure.;translation;0.0;
128_contextual;Entretien 01 24.10.03 01_traitement_A;Je te vois pas s'il y ai un plan de paiement.;contextual;4.0;
128_original;Entretien 01 24.10.03 01_traitement_A;Je ne sais pas s'il y a un exemple de vue.;original;4.0;
128_swap;Entretien 01 24.10.03 01_traitement_A;Ne pas je sais s ' il y a un vue exemple de.;swap;4.0;
128_translation;Entretien 01 24.10.03 01_traitement_A;Je ne sais pas s'il y a un exemple.;translation;4.0;
129_contextual;Entretien 01 24.10.03 01_traitement_A;Alors, bon, chaque gadget'est pas inutile.;contextual;0.0;
129_original;Entretien 01 24.10.03 01_traitement_A;Non, bon, ce n'est pas grave.;original;0.0;
129_swap;Entretien 01 24.10.03 01_traitement_A;, non, bon ce n ' pas est. grave;swap;0.0;
129_translation;Entretien 01 24.10.03 01_traitement_A;Non, c'est bon.;translation;0.0;
12_contextual;Entretien 01 24.10.03 01_traitement_A;C'était 75 minutes ou 7h heure;contextual;0.0;
12_original;Entretien 01 24.10.03 01_traitement_A;C'était 7h ou 7h30.;original;0.0;
12_swap;Entretien 01 24.10.03 01_traitement_A;Était c 7h ' ou 7h30.;swap;0.0;
12_translation;Entretien 01 24.10.03 01_traitement_A;Il était 7 h 30 ou 7 h 30.;translation;0.0;
130_contextual;Entretien 01 24.10.03 01_traitement_A;et utilisez le même outil ?;contextual;1.0;
130_original;Entretien 01 24.10.03 01_traitement_A;Réutilise le même outil ?;original;1.0;
130_swap;Entretien 01 24.10.03 01_traitement_A;Le même réutilise outil?;swap;1.0;
130_translation;Entretien 01 24.10.03 01_traitement_A;Réutiliser le même outil ?;translation;1.0;
131_contextual;Entretien 01 24.10.03 01_traitement_A;•...;contextual;3.0;
131_original;Entretien 01 24.10.03 01_traitement_A;Alors...;original;3.0;
131_swap;Entretien 01 24.10.03 01_traitement_A;. alors..;swap;3.0;
131_translation;Entretien 01 24.10.03 01_traitement_A;Alors...;translation;3.0;
132_contextual;Entretien 01 24.10.03 01_traitement_A;Des photos, Jennifer' utilise mon couteau-ver rechargeable pour couper mes plombs.;contextual;0.0;
132_original;Entretien 01 24.10.03 01_traitement_A;Des fois, j'utilise mon coupe-verre pour ouvrir mes plombs.;original;0.0;
132_swap;Entretien 01 24.10.03 01_traitement_A;Fois des, j ' utilise coupe mon - pour verre ouvrir mes plombs.;swap;0.0;
132_translation;Entretien 01 24.10.03 01_traitement_A;Parfois, j'utilise mon verre pour ouvrir mon esprit.;translation;0.0;
133_contextual;Entretien 01 24.10.03 01_traitement_A;Mais attention, il n' ya ai pas beaucoup de célibataires qui la font.;contextual;0.0;
133_original;Entretien 01 24.10.03 01_traitement_A;Mais bon, il n'y a pas beaucoup de monde qui le font.;original;0.0;
133_swap;Entretien 01 24.10.03 01_traitement_A;Mais bon, il n y ' a beaucoup pas monde de qui le font.;swap;0.0;
133_translation;Entretien 01 24.10.03 01_traitement_A;Mais il n'y en a pas beaucoup qui le font.;translation;0.0;
134_contextual;Entretien 01 24.10.03 01_traitement_A;...'est- ce pourquoi je fais pour'autre avec cette même outil?;contextual;1.0;
134_original;Entretien 01 24.10.03 01_traitement_A;Qu'est-ce que je fais d'autre avec le même outil?;original;1.0;
134_swap;Entretien 01 24.10.03 01_traitement_A;' qu est - ce je que fais ' d avec autre même le outil?;swap;1.0;
134_translation;Entretien 01 24.10.03 01_traitement_A;Qu'est-ce que je fais avec le même outil ?;translation;1.0;
135_contextual;Entretien 01 24.10.03 01_traitement_A;et...;contextual;3.0;
135_original;Entretien 01 24.10.03 01_traitement_A;Euh...;original;3.0;
135_swap;Entretien 01 24.10.03 01_traitement_A;. euh..;swap;3.0;
135_translation;Entretien 01 24.10.03 01_traitement_A;Euh...;translation;3.0;
136_contextual;Entretien 01 24.10.03 01_traitement_A;Par exemple, chacun pourrautilise les outils pour lancer vidéo.;contextual;0.0;
136_original;Entretien 01 24.10.03 01_traitement_A;Par exemple, on réutilise les outils pour la restauration.;original;0.0;
136_swap;Entretien 01 24.10.03 01_traitement_A;Exemple par, on les réutilise pour outils la. restauration;swap;0.0;
136_translation;Entretien 01 24.10.03 01_traitement_A;Par exemple, nous réutiliserons les outils pour la récupération.;translation;0.0;
137_contextual;Entretien 01 24.10.03 01_traitement_A;On espère...;contextual;3.0;
137_original;Entretien 01 24.10.03 01_traitement_A;On vient...;original;3.0;
137_swap;Entretien 01 24.10.03 01_traitement_A;Vient. on..;swap;3.0;
137_translation;Entretien 01 24.10.03 01_traitement_A;On arrive...;translation;3.0;
138_contextual;Entretien 01 24.10.03 01_traitement_A;Le skatego 1 déjà fait a entièrement été coupé, simplement monté.;contextual;0.0;
138_original;Entretien 01 24.10.03 01_traitement_A;Le vitrail déjà fait a déjà été coupé, déjà monté.;original;0.0;
138_swap;Entretien 01 24.10.03 01_traitement_A;Le vitrail déjà fait déjà a été coupé déjà, monté.;swap;0.0;
138_translation;Entretien 01 24.10.03 01_traitement_A;La fenêtre en verre déjà faite a déjà été coupée, déjà montée.;translation;0.0;
139_contextual;Entretien 01 24.10.03 01_traitement_A;Un bientot vient recoup sur une surface de verre pendant p'il y a une casse.;contextual;0.0;
139_original;Entretien 01 24.10.03 01_traitement_A;Et on vient recouper une pièce de verre parce qu'il y a une casse.;original;0.0;
139_swap;Entretien 01 24.10.03 01_traitement_A;Et on vient pièce recouper de une verre parce ' qu il y a une casse.;swap;0.0;
139_translation;Entretien 01 24.10.03 01_traitement_A;Et on croise un morceau de verre parce qu'il y a une rupture.;translation;0.0;
13_contextual;Entretien 01 24.10.03 01_traitement_A;7h, ce'était hier du 7 m repérage directement pour partir sur le terrain, fixer les vitraux, reposer les joints.;contextual;0.0;
13_original;Entretien 01 24.10.03 01_traitement_A;7h, c'était plutôt pour aller en chantier directement pour partir sur le terrain, déposer les vitraux, reposer les vitraux.;original;0.0;
13_swap;Entretien 01 24.10.03 01_traitement_A;7h, c était ' pour plutôt aller en directement chantier partir pour sur terrain le, déposer vitraux les, reposer les vitraux.;swap;0.0;
13_translation;Entretien 01 24.10.03 01_traitement_A;Il était sept heures plus tôt pour aller directement sur le chantier, aller sur le terrain, poser les fenêtres en verre, reposer les fenêtres en verre.;translation;0.0;
140_contextual;Entretien 01 24.10.03 01_traitement_A;Maintenant ça reste, on vient le remettre à son'intérieur.;contextual;0.0;
140_original;Entretien 01 24.10.03 01_traitement_A;Et du coup, on vient le remettre à l'intérieur.;original;0.0;
140_swap;Entretien 01 24.10.03 01_traitement_A;Et du coup, vient le on remettre à l ' intérieur.;swap;0.0;
140_translation;Entretien 01 24.10.03 01_traitement_A;Et puis il rentre.;translation;0.0;
141_contextual;Entretien 01 24.10.03 01_traitement_A;Ce'est là.;contextual;0.0;
141_original;Entretien 01 24.10.03 01_traitement_A;C'est ça.;original;0.0;
141_swap;Entretien 01 24.10.03 01_traitement_A;C est ça '.;swap;0.0;
141_translation;Entretien 01 24.10.03 01_traitement_A;Exactement.;translation;0.0;
142_contextual;Entretien 01 24.10.03 01_traitement_A;Du moins, on réutilise après sans il y ait un bug avec une rupture quelque part.;contextual;3.0;
142_original;Entretien 01 24.10.03 01_traitement_A;Du coup, on réutilise après quand il y a un problème ou une casse quelque part.;original;3.0;
142_swap;Entretien 01 24.10.03 01_traitement_A;Coup du, on réutilise après y quand il un a ou problème casse une quelque part.;swap;3.0;
142_translation;Entretien 01 24.10.03 01_traitement_A;C'est pourquoi nous l'utilisons à nouveau s'il y a un problème ou une rupture.;translation;3.0;
143_contextual;Entretien 01 24.10.03 01_traitement_A;Sinon’;contextual;0.0;
143_original;Entretien 01 24.10.03 01_traitement_A;Sinon...;original;0.0;
143_swap;Entretien 01 24.10.03 01_traitement_A;. sinon..;swap;0.0;
143_translation;Entretien 01 24.10.03 01_traitement_A;Sinon...;translation;0.0;
144_contextual;Entretien 01 24.10.03 01_traitement_A;Rien, rien.;contextual;3.0;
144_original;Entretien 01 24.10.03 01_traitement_A;Sinon, non.;original;3.0;
144_swap;Entretien 01 24.10.03 01_traitement_A;, sinon. non;swap;3.0;
144_translation;Entretien 01 24.10.03 01_traitement_A;Sinon, non.;translation;3.0;
145_contextual;Entretien 01 24.10.03 01_traitement_A;En fait, chaque outil diffère;contextual;;
145_original;Entretien 01 24.10.03 01_traitement_A;En fait, chaque outil...;original;;
145_swap;Entretien 01 24.10.03 01_traitement_A;En chaque fait, . outil..;swap;;
145_translation;Entretien 01 24.10.03 01_traitement_A;En fait, tous les outils...;translation;;
146_contextual;Entretien 01 24.10.03 01_traitement_A;Là, en tout cas, ici ya' on a aucun qui me dépasse où je me dis que je rérais mon outil à plomb pour plusieurs choses à couper du plomb.;contextual;0.0;
146_original;Entretien 01 24.10.03 01_traitement_A;Là, en tout cas, il n'y a rien qui me vient où je me dis que je réutilise mon couteau à plomb pour autre chose que couper du plomb.;original;0.0;
146_swap;Entretien 01 24.10.03 01_traitement_A;, là en cas tout il, n rien ' y a me qui vient où je me dis je que réutilise mon couteau plomb à pour autre chose couper que du plomb.;swap;0.0;
146_translation;Entretien 01 24.10.03 01_traitement_A;Quoi qu'il en soit, il ne m'est rien arrivé où j'imagine que je coupe mon couteau à plomb pour autre chose que le plomb.;translation;0.0;
147_contextual;Entretien 01 24.10.03 01_traitement_A;Bon si.;contextual;0.0;
147_original;Entretien 01 24.10.03 01_traitement_A;Ah si.;original;0.0;
147_swap;Entretien 01 24.10.03 01_traitement_A;Ah. si;swap;0.0;
147_translation;Entretien 01 24.10.03 01_traitement_A;Oh que si.;translation;0.0;
148_contextual;Entretien 01 24.10.03 01_traitement_A;Petit exemple, le tissage à cheveux.;contextual;0.0;
148_original;Entretien 01 24.10.03 01_traitement_A;Par exemple, le couteau à plomb.;original;0.0;
148_swap;Entretien 01 24.10.03 01_traitement_A;, par exemple le couteau à. plomb;swap;0.0;
148_translation;Entretien 01 24.10.03 01_traitement_A;Le couteau au plomb, par exemple.;translation;0.0;
149_contextual;Entretien 01 24.10.03 01_traitement_A;Donc merde, du stress, c'est la moment de la pose où elle va en avoir sans le poser.;contextual;0.0;
149_original;Entretien 01 24.10.03 01_traitement_A;Mais là, du coup, c'est au moment de la pose où on va en chantier pour le poser.;original;0.0;
149_swap;Entretien 01 24.10.03 01_traitement_A;Mais là, du coup, c ' est de au moment où la pose on va en pour le chantier. poser;swap;0.0;
149_translation;Entretien 01 24.10.03 01_traitement_A;Mais maintenant, il est temps qu'on se mette en route pour le mettre en place.;translation;0.0;
14_contextual;Entretien 01 24.10.03 01_traitement_A;Nous alors, tout était mode atelier.;contextual;0.0;
14_original;Entretien 01 24.10.03 01_traitement_A;Ou alors, on était en atelier.;original;0.0;
14_swap;Entretien 01 24.10.03 01_traitement_A;Ou, alors on était en atelier.;swap;0.0;
14_translation;Entretien 01 24.10.03 01_traitement_A;Ou on est allés à l'atelier.;translation;0.0;
150_contextual;Entretien 01 24.10.03 01_traitement_A;Et, on a équipé à nouveau du poêle à papier.;contextual;0.0;
150_original;Entretien 01 24.10.03 01_traitement_A;Là, on a besoin à nouveau du couteau à plomb.;original;0.0;
150_swap;Entretien 01 24.10.03 01_traitement_A;Là, on a besoin nouveau à du couteau à. plomb;swap;0.0;
150_translation;Entretien 01 24.10.03 01_traitement_A;On a besoin du couteau à plomb.;translation;0.0;
151_contextual;Entretien 01 24.10.03 01_traitement_A;Comme moi, s' Ils n' aucune faite au bonne mesure de vitrail.;contextual;0.0;
151_original;Entretien 01 24.10.03 01_traitement_A;Par exemple, s'il n'est pas au bonne mesure le vitrail.;original;0.0;
151_swap;Entretien 01 24.10.03 01_traitement_A;Par exemple, s ' n il ' pas est au bonne le mesure vitrail.;swap;0.0;
151_translation;Entretien 01 24.10.03 01_traitement_A;Par exemple, s'il n'est pas la bonne mesure pour la peinture de verre.;translation;0.0;
152_contextual;Entretien 01 24.10.03 01_traitement_A;On vient couper les ailes du singe par plusieurs scie à plomb à coup.;contextual;0.0;
152_original;Entretien 01 24.10.03 01_traitement_A;On vient couper les ailes du plomb avec le couteau à plomb du coup.;original;0.0;
152_swap;Entretien 01 24.10.03 01_traitement_A;Vient on couper les ailes plomb du avec le couteau plomb à du coup.;swap;0.0;
152_translation;Entretien 01 24.10.03 01_traitement_A;On coupe les ailes du plomb avec le couteau au plomb.;translation;0.0;
153_contextual;Entretien 01 24.10.03 01_traitement_A;Et ça ça'appelle leto.;contextual;0.0;
153_original;Entretien 01 24.10.03 01_traitement_A;Et ça s'appelle doler.;original;0.0;
153_swap;Entretien 01 24.10.03 01_traitement_A;S et ça ' appelle. doler;swap;0.0;
