filename;text;word_count;note_bert_intimité;note_bert_fertilité du language;note_bert_fluidité;note_bert_émotions;note_bert_imaginaire;note_bert_ expert;note_bert_Vulnerable;note_bert_difficulté verbalisation;cluster;residual
Entretien 01 24.10.03 01_traitement_A;7h, c'était plutôt pour aller en chantier directement pour partir sur le terrain, déposer les vitraux, reposer les vitraux.;19;2.26;1.33;1.68;1.07;1.22;3.52;0.99;1.3;4.0;-1.201699999999998
Entretien 01 24.10.03 01_traitement_A;Ou alors, on était en atelier.;6;2.4;0.77;0.85;1.32;1.71;2.3;1.08;0.76;4.0;-0.42769999999999975
Entretien 01 24.10.03 01_traitement_A;C'était un peu une façon ancienne de travailler là-bas où c'était les filles plutôt en atelier et les garçons plutôt en chantier.;22;2.71;1.11;0.93;1.47;1.63;4.88;0.62;0.92;4.0;-0.42820000000000036
Entretien 01 24.10.03 01_traitement_A;Moi, j'avais du coup les deux aspects parce que j'étais performante dans les deux.;14;5.56;0.93;1.85;1.61;1.57;4.37;2.89;1.11;3.0;1.2607
Entretien 01 24.10.03 01_traitement_A;Sinon, quand c'était en atelier, ce que je faisais, c'est on arrive, on se change, on enlève les vêtements de ville, on va dans le vestiaire sale où on met les vêtements de travail, chaussures de sécurité, tout l'accoutrement.;39;4.15;2.67;2.2;2.71;2.01;4.89;1.18;0.9;1.0;-0.3039999999999923
Entretien 01 24.10.03 01_traitement_A;On descend, on va dans l'atelier.;6;2.41;0.95;1.1;1.06;2.35;1.51;1.14;0.7;4.0;-1.4523000000000001
Entretien 01 24.10.03 01_traitement_A;Et là, on commence à travailler sur notre table, sur notre établi où on restaure les panneaux à la chaîne un peu.;22;2.72;1.4;1.1;0.9;4.36;4.85;1.2;0.81;0.0;-0.3317000000000019
Entretien 01 24.10.03 01_traitement_A;Repiquage, dépiquage, ça veut dire enlever une pièce, remettre une pièce ancienne, nouvelle, remettre d'équerre, remettre aux mesures ou monter un panneau complètement qui a été coupé par d'autres.;29;3.12;4.61;2.87;0.85;2.65;5.91;1.6;1.09;0.0;-0.40120000000000156
Entretien 01 24.10.03 01_traitement_A;Il y avait les coupeuses, les monteuses, les réstoratrices.;9;1.43;1.08;1.05;0.85;1.09;3.94;1.18;0.68;0.0;-0.38820000000000343
Entretien 01 24.10.03 01_traitement_A;C'était très scindé comme travail, on n'avait pas de tout.;10;3.41;0.38;0.75;1.77;0.86;3.95;1.64;1.07;3.0;0.04689999999999861
Entretien 01 24.10.03 01_traitement_A;Et après, quand on finissait, on le mettait sur le côté et on en reprenait un autre.;17;4.5;1.03;1.26;1.17;2.45;3.17;1.21;0.82;2.0;0.5120999999999993
Entretien 01 24.10.03 01_traitement_A;C'était comme ça un peu toute la journée où c'était à la chaîne.;13;3.54;0.69;0.58;0.84;1.95;2.04;0.56;1.04;4.0;0.2815999999999992
Entretien 01 24.10.03 01_traitement_A;Et après, du coup, pause de 10 heures où on boit un petit café le matin.;16;2.99;0.59;0.94;0.78;1.34;1.8;1.68;1.11;0.0;-0.06890000000000285
Entretien 01 24.10.03 01_traitement_A;On reprend le travail, c'était 5 minutes, 5-10 minutes de petite pause.;12;2.38;0.88;1.29;0.92;0.83;2.99;3.15;0.78;0.0;-0.5941999999999985
Entretien 01 24.10.03 01_traitement_A;Et à midi, on va dans les vestiaires, on se change, on mange pendant une heure et puis, rebelote, on se rechange, on va à l'atelier.;26;3.44;2.33;2.14;1.76;4.52;3.58;1.01;0.65;1.0;-1.6141000000000019
Entretien 01 24.10.03 01_traitement_A;Et des fois, on finissait, ça dépendait.;7;3.49;0.7;1.04;0.92;1.28;1.53;0.94;1.15;4.0;0.13189999999999813
Entretien 01 24.10.03 01_traitement_A;Si on avait des heures sup, des fois, 17h30.;9;2.01;0.7;1.38;1.3;1.9;1.53;2.03;1.46;4.0;-0.6823999999999986
Entretien 01 24.10.03 01_traitement_A;Des fois, encore 2 heures sup, 16h.;7;2.79;0.62;1.1;1.07;1.52;0.87;2.03;1.43;4.0;-0.7796999999999992
Entretien 01 24.10.03 01_traitement_A;C'était très variable.;3;3.26;0.88;1.04;0.84;1.04;3.01;1.19;0.46;0.0;1.2787999999999988
Entretien 01 24.10.03 01_traitement_A;C'était très ouvrier comme façon de faire.;7;2.06;0.77;0.98;1.1;0.91;4.68;1.38;2.43;4.0;-0.44140000000000157
Entretien 01 24.10.03 01_traitement_A;Voilà;1;3.67;1.35;0.9;1.6;1.09;1.28;1.65;1.61;3.0;-0.17200000000000015
Entretien 01 24.10.03 01_traitement_A;Et dans l'autre entreprise où j'étais, où j'ai appris le vitrail en Belgique, là, c'était un peu plus chill.;19;4.63;1.01;1.26;1.96;2.27;4.09;1.46;1.17;3.0;0.29960000000000075
Entretien 01 24.10.03 01_traitement_A;Où on arrivait, on avait un projet, on était deux du coup.;12;3.88;0.96;1.24;1.53;0.81;2.64;1.74;1.17;3.0;-0.07049999999999645
Entretien 01 24.10.03 01_traitement_A;C'était moins à la chaîne.;5;3.88;0.65;0.62;0.73;1.37;1.94;0.81;0.98;4.0;0.2989000000000024
Entretien 01 24.10.03 01_traitement_A;C'était vraiment, on avait un vitrail à restaurer ou une création à faire et il nous durait pendant toute la semaine.;21;3.12;1.05;1.21;1.24;0.99;3.94;0.89;1.08;4.0;-0.2232000000000025
Entretien 01 24.10.03 01_traitement_A;Et qu'on prenait vraiment bien le temps de le faire, de le restaurer, de le créer.;16;4.65;1.49;2.89;3.41;1.3;4.46;1.6;1.66;1.0;-0.42100000000000026
Entretien 01 24.10.03 01_traitement_A;Le temps de bien faire les choses.;7;3.13;1.46;3.51;2.08;1.14;3.6;1.91;1.45;3.0;-0.4317999999999991
Entretien 01 24.10.03 01_traitement_A;Et ensuite, on le finissait, on allait en chantier, on allait le poser.;13;3.79;1.8;2.13;1.19;1.52;4.41;1.22;1.01;2.0;-0.16230000000000455
Entretien 01 24.10.03 01_traitement_A;Il y avait un peu plus l'amour du travail.;9;5.4;1.5;2.05;3.37;0.94;4.86;4.66;0.96;1.0;0.025100000000007228
Entretien 01 24.10.03 01_traitement_A;On l'observait un peu plus, on le regardait.;8;4.97;1.56;1.85;1.64;2.33;2.76;1.65;0.82;3.0;0.09069999999999023
Entretien 01 24.10.03 01_traitement_A;Or que là, quand je restaurais pendant les deux ans, comme c'était la chaîne, c'était tout le temps le même motif.;21;4.58;1.13;1.11;2.1;2.15;3.48;1.36;0.96;3.0;0.03570000000000206
Entretien 01 24.10.03 01_traitement_A;Et du coup, on s'arrêtait plus sur la beauté du vitrail.;11;4.2;0.75;0.83;1.05;0.91;3.59;1.25;1.16;4.0;0.6429000000000045
Entretien 01 24.10.03 01_traitement_A;Et voilà quoi.;3;4.45;0.77;0.77;1.63;0.96;0.43;1.55;1.5;3.0;0.4628000000000023
Entretien 01 24.10.03 01_traitement_A;Je ne sais pas si je répondais clairement à la question.;11;5.09;0.6;0.68;1.91;0.64;2.98;2.68;3.26;3.0;0.7111000000000054
Entretien 01 24.10.03 01_traitement_A;Celui que j'ai fait le plus et celui qui me plaît aussi le plus.;14;5.77;1.81;1.59;6.19;2.85;4.07;1.64;1.27;1.0;0.01550000000000562
Entretien 01 24.10.03 01_traitement_A;Est-ce que j'aime ?;4;5.15;1.13;1.41;4.25;0.92;0.39;2.83;2.14;3.0;0.5902999999999992
Entretien 01 24.10.03 01_traitement_A;Il y a plusieurs choses que j'aime dans le vitrail.;10;5.71;1.67;2.01;3.11;1.53;3.68;2.57;0.96;1.0;0.33920000000000616
Entretien 01 24.10.03 01_traitement_A;J'aime cet aspect, du coup, de montage en plomb.;9;3.26;1.01;0.57;1.08;0.67;4.72;1.69;0.81;4.0;0.05670000000000153
Entretien 01 24.10.03 01_traitement_A;Et du coup, quand on a des vitreries monter très droits, cette rigueur d'avoir des plombs très alignés, très linéaires où tu dois vraiment toujours calculer si c'est bien d'équerre, bien droit, bien parfait.;34;5.41;2.9;2.03;2.81;1.36;5.42;1.44;1.16;1.0;0.023699999999994503
Entretien 01 24.10.03 01_traitement_A;Il y a ce truc que j'aime beaucoup et que j'essaie d'en faire le plus possible.;16;5.47;3.34;4.92;6.64;2.3;7.51;4.06;1.17;1.0;-0.3158000000000074
Entretien 01 24.10.03 01_traitement_A;Par exemple, à l'exposition, je ne sais pas si tu allais voir un tout petit peu l'expo d'en bas qu'il y a.;22;4.5;1.51;1.63;1.13;3.77;4.36;2.76;1.36;2.0;-0.05379999999999985
Entretien 01 24.10.03 01_traitement_A;Il y a une petite expo où c'était ma promo où on a exposé plein de choses.;17;2.75;1.03;1.27;1.19;1.18;4.02;1.65;0.99;4.0;-0.3016999999999994
Entretien 01 24.10.03 01_traitement_A;Et ce que j'ai fait comme projet, c'était un losanger.;10;4.56;0.77;0.89;2.14;1.24;2.92;1.74;0.93;3.0;0.2887999999999984
Entretien 01 24.10.03 01_traitement_A;Ce qu'il y a de plus simple un peu dans le monde du vitrail où c'est juste des losanges.;19;4.93;2.31;1.72;1.81;2.24;5.18;2.1;0.91;1.0;-0.05610000000000248
Entretien 01 24.10.03 01_traitement_A;Et on vient et on monte comme ça et c'est une certaine rigueur.;13;4.85;1.34;1.07;0.82;1.63;3.96;1.34;0.88;2.0;0.7284999999999968
Entretien 01 24.10.03 01_traitement_A;Et j'ai un peu haï le losanger pendant mes deux ans de CAP parce qu'on n'a fait que ça.;19;4.75;0.96;1.19;4.43;1.76;1.78;1.11;1.05;1.0;0.02800000000000047
Entretien 01 24.10.03 01_traitement_A;Et du coup, j'avais envie de montrer qu'on pouvait le faire parfaitement, qu'il pouvait être beau, tu verras en bas à quoi ça ressemble plus ou moins.;27;5.77;2.68;3.15;5.2;3.18;6.0;3.35;1.71;1.0;-0.12439999999999429
Entretien 01 24.10.03 01_traitement_A;Mais c'est vraiment que des losanges.;6;2.79;0.85;0.98;0.82;1.48;3.05;1.23;0.9;0.0;0.16590000000000105
Entretien 01 24.10.03 01_traitement_A;Et c'est vraiment ce côté vitrerie, rigueur que j'aime bien.;10;5.6;2.49;1.69;3.35;1.7;5.34;1.29;0.82;1.0;0.18979999999999642
Entretien 01 24.10.03 01_traitement_A;Et le geste que j'ai appris, c'est de couper parfaitement en onglet.;12;5.51;2.38;3.96;2.71;1.04;6.16;1.97;1.43;1.0;0.16430000000000256
Entretien 01 24.10.03 01_traitement_A;Alors en onglet, c'est quand on prend un morceau de plomb.;11;3.16;1.29;1.13;1.03;0.76;2.2;1.46;0.84;4.0;0.11209999999999942
Entretien 01 24.10.03 01_traitement_A;Et en fait, on vient entailler juste les ailes du plomb pour faire un angle.;15;3.72;2.23;1.8;0.91;1.5;5.87;1.32;1.09;2.0;0.1294000000000013
Entretien 01 24.10.03 01_traitement_A;Au lieu de faire une courbe avec le plomb, on vient vraiment faire un petit angle.;16;2.49;1.99;1.5;0.77;1.64;5.29;1.48;1.65;0.0;-0.42530000000000223
Entretien 01 24.10.03 01_traitement_A;Et ça, comme j'en ai fait beaucoup des petits onglets sur des vitreries, maintenant, c'est bon, c'est le truc.;19;4.47;1.44;1.12;2.87;2.1;5.84;1.25;0.81;3.0;-0.10390000000000033
Entretien 01 24.10.03 01_traitement_A;C'est celui que j'ai appris pendant les deux ans, cette rigueur et ce petit coup de main où, au début, j'avais du mal puisqu'il faut quand même relativement bien calculer.;30;5.76;3.57;2.61;5.79;1.88;5.95;3.0;1.18;1.0;-0.14809999999999857
Entretien 01 24.10.03 01_traitement_A;Si ce n'est pas bien monté, ça ne fonctionne pas.;10;2.19;0.7;0.44;0.87;1.06;2.16;2.19;1.53;4.0;-0.6458999999999993
Entretien 01 24.10.03 01_traitement_A;Et au fur et à mesure, je l'ai bien assimilé.;10;4.05;0.71;1.05;1.09;1.25;2.81;3.04;1.46;4.0;0.1337999999999968
Entretien 01 24.10.03 01_traitement_A;Et maintenant, c'est bon, je gère.;6;5.51;0.87;1.55;1.48;1.43;3.07;2.7;1.22;3.0;1.2912000000000008
Entretien 01 24.10.03 01_traitement_A;Et ça, j'aime bien faire.;5;6.09;1.31;1.52;3.83;1.16;3.31;2.91;1.59;1.0;0.22060000000000457
Entretien 01 24.10.03 01_traitement_A;Sinon, qu'est-ce que c'est ?;5;4.78;1.15;1.04;2.56;1.57;0.64;2.02;1.45;3.0;0.46979999999999933
Entretien 01 24.10.03 01_traitement_A;C'est aussi la coupe du verre.;6;2.64;0.89;0.66;0.67;0.7;2.63;0.66;1.01;0.0;0.3377000000000039
Entretien 01 24.10.03 01_traitement_A;Alors ça, c'est challengeant.;4;4.61;0.63;0.64;0.65;0.83;0.89;1.06;1.51;0.0;0.8338999999999954
Entretien 01 24.10.03 01_traitement_A;Parce que des fois, on a des courbes et des coupes un peu compliquées avec des courbes rentrantes ou des ronds, des trucs un peu complexes avec des pointes.;29;2.2;2.52;2.83;0.96;5.16;3.71;2.04;1.15;0.0;-1.002899999999996
Entretien 01 24.10.03 01_traitement_A;Ça aussi, j'en suis un peu fière.;7;5.86;1.0;1.16;4.63;2.67;1.98;4.44;1.26;1.0;0.27629999999999466
Entretien 01 24.10.03 01_traitement_A;Parce que c'est au fur et à mesure du temps où plus tu le fais, plus tu assimiles.;18;4.72;1.21;2.69;1.56;3.18;2.01;1.22;1.02;3.0;-0.26100000000000634
Entretien 01 24.10.03 01_traitement_A;Et après, tu es fière de pouvoir faire des trucs qui sont un peu compliqués.;15;3.08;1.7;2.67;4.12;3.67;4.44;7.46;3.88;3.0;-1.076299999999998
Entretien 01 24.10.03 01_traitement_A;Dans les petits détails ?;5;2.13;0.54;1.0;1.74;0.97;0.78;1.42;1.54;3.0;-0.5904999999999978
Entretien 01 24.10.03 01_traitement_A;Par exemple, pour la coupe en onglet, comme c'est une vitrerie, on a toujours les mêmes formes qui se répètent.;20;2.91;2.32;1.59;0.63;1.14;5.57;0.84;0.94;0.0;-0.06719999999999882
Entretien 01 24.10.03 01_traitement_A;Et du coup, toujours la même coupe de plomb.;9;3.19;0.61;0.67;0.54;0.54;2.2;0.69;0.99;0.0;1.153200000000001
Entretien 01 24.10.03 01_traitement_A;Et au fur et à mesure, on vient imbriquer une pièce et on monte un peu en escalier.;18;2.17;1.93;1.97;0.86;3.35;4.62;1.98;0.86;0.0;-0.8361999999999981
Entretien 01 24.10.03 01_traitement_A;Du coup, petit à petit, on monte comme ça.;9;1.33;0.59;0.51;0.43;0.72;1.62;0.74;0.46;0.0;-0.09190000000000009
Entretien 01 24.10.03 01_traitement_A;Là, il y a l'équerre et puis ça monte.;9;3.3;0.82;0.85;0.68;1.37;2.9;1.18;0.92;0.0;0.21339999999999604
Entretien 01 24.10.03 01_traitement_A;Et le moment où on a le plus d'attention, c'est quand on vient calculer l'angle avec son couteau pour après plier, faire le bon angle et que ça rentre parfaitement.;30;5.95;4.38;4.35;2.79;3.77;6.06;2.49;1.64;1.0;-0.2999999999999954
Entretien 01 24.10.03 01_traitement_A;Et c'est le moment où j'ai le plus d'attention pour calculer.;11;5.03;1.71;1.5;1.55;1.08;3.43;2.31;1.5;3.0;0.23720000000000852
Entretien 01 24.10.03 01_traitement_A;Et au fur et à mesure, au début, t'es très concentré et au fur et à mesure, tu te laisses aller et tu rêvasses.;24;3.87;1.54;1.94;0.98;2.6;4.59;1.34;0.93;2.0;-0.21540000000000337
Entretien 01 24.10.03 01_traitement_A;Parce que t'es habitué au même geste et du coup, c'est très répétitif et après, ça commence à s'éliminer.;19;5.37;1.36;1.97;3.2;2.71;3.62;1.24;1.08;1.0;0.1310999999999991
Entretien 01 24.10.03 01_traitement_A;Et puis, tu vas de plus en plus vite.;9;3.8;0.75;1.47;0.78;2.15;2.17;2.47;1.58;0.0;0.18689999999999918
Entretien 01 24.10.03 01_traitement_A;Et plus t'as de vitrerie, plus tu vas plus vite.;10;3.09;1.13;1.3;0.87;1.34;3.21;1.27;1.05;4.0;0.04680000000000151
Entretien 01 24.10.03 01_traitement_A;Et ça, c'est chouette.;4;3.96;1.22;1.12;0.99;1.37;3.81;2.28;1.03;4.0;0.3045000000000009
Entretien 01 24.10.03 01_traitement_A;Du coup, d'abord, on a coupé toutes les pièces à l'aide d'une pige.;13;2.98;1.22;1.42;0.81;0.98;3.46;1.64;1.18;0.0;0.2608000000000019
Entretien 01 24.10.03 01_traitement_A;Une pige, c'est un espèce de morceau de verre qu'on vient couper à las bonne taille pour faire des bandes parfaites de verre.;23;0.79;3.05;2.13;0.64;0.6;4.5;1.0;0.85;0.0;-0.5583000000000007
Entretien 01 24.10.03 01_traitement_A;Par exemple, je dois avoir une bande ou des carrés qui doivent faire 5 cm sur 5 cm.;18;1.49;1.79;1.82;0.52;1.74;4.6;1.22;1.15;0.0;-1.572199999999999
Entretien 01 24.10.03 01_traitement_A;Je vais couper une bande de verre qui fait 4,8 cm.;11;2.43;3.0;2.77;0.91;1.39;5.39;1.68;2.9;0.0;-0.42810000000000326
Entretien 01 24.10.03 01_traitement_A;Parce qu'avec le coupe-verre, c'est un peu technique, en fait, ça va rajouter les 2 mm.;16;3.27;1.45;1.82;0.93;1.52;3.54;1.55;2.29;4.0;-0.09739999999999815
Entretien 01 24.10.03 01_traitement_A;Et du coup, on vient faire ces bandes à la chaîne et on a encore besoin d'une pige où on revient passer pour faire nos petits carrés et du coup, on a des petits carrés parfaits.;36;4.55;3.01;2.62;1.26;2.3;4.71;0.97;1.04;2.0;0.06859999999999467
Entretien 01 24.10.03 01_traitement_A;Quand on a tous nos verres qui sont tous coupés à l'aide de cette technique qui s'appelle la pige, on monte en escalier.;23;4.58;3.6;3.22;0.94;1.23;4.85;0.8;0.74;2.0;0.24900000000000055
Entretien 01 24.10.03 01_traitement_A;Petite pièce après petite pièce, c'est petite pièce, petit plomb, petite pièce, petit plomb, petite pièce, petit plomb, à la chaîne comme ça.;23;1.42;0.77;0.53;0.58;0.77;2.64;0.37;0.51;0.0;-0.39259999999999895
Entretien 01 24.10.03 01_traitement_A;Et du coup, si on a des onglets, c'est petite pièce en petit plomb et notre petite pièce.;18;2.92;1.03;0.88;0.88;1.27;3.6;0.58;0.81;0.0;0.18460000000000276
Entretien 01 24.10.03 01_traitement_A;Et puis hop, on vient couper le plomb en onglets.;10;2.01;0.97;0.87;0.72;0.71;3.22;1.09;1.13;0.0;-0.22210000000000063
Entretien 01 24.10.03 01_traitement_A;Je ne sais pas si c'est clair.;7;5.39;0.78;0.74;1.49;1.19;1.7;1.61;7.03;3.0;0.6662000000000052
Entretien 01 24.10.03 01_traitement_A;Et du coup, petit à petit, on a notre base.;10;3.18;0.51;0.68;0.56;1.83;1.74;0.8;0.89;0.0;0.03319999999999901
Entretien 01 24.10.03 01_traitement_A;On bâtit une base qui est d'équerre et qui est régulière.;11;3.07;1.67;0.86;0.75;1.73;3.86;1.18;1.09;0.0;-0.20009999999999817
Entretien 01 24.10.03 01_traitement_A;Et ensuite, on vient remettre une autre pièce, petit plomb, petite pièce de verre, petit plomb, petite pièce de verre, jusqu'au final, quand on est bien d'équerre, on a bien notre forme avec nos bonnes mesures.;36;4.58;4.19;2.05;1.38;2.67;5.44;0.77;0.91;2.0;0.04990000000000183
Entretien 01 24.10.03 01_traitement_A;Si on a 48,7, on doit avoir 48,7.;8;4.62;1.95;2.23;2.38;1.91;2.36;2.35;1.56;1.0;-0.2679000000000018
Entretien 01 24.10.03 01_traitement_A;C'est très précis.;3;3.31;0.74;0.78;1.4;1.08;1.97;1.6;1.52;4.0;0.08810000000000029
Entretien 01 24.10.03 01_traitement_A;On vient, on fait d'équerre et puis si tout est parfait, on commence à souder.;15;5.44;2.28;2.27;0.99;0.95;4.14;1.04;1.82;4.0;2.6846000000000023
Entretien 01 24.10.03 01_traitement_A;Du coup, le verre avec le coupe-verre et la pige.;10;2.08;1.08;1.35;0.81;0.56;2.47;0.7;0.95;0.0;-0.01990000000000247
Entretien 01 24.10.03 01_traitement_A;On vient mettre aussi de l'huile de coupe pour faire glisser la roulette en tungsten qui permet d'ouvrir plus facilement le verre et de le faire filer au lieu de faire une griffe qui n'a pas trop d'intérêt et qui risque de le faire filer.;45;3.23;4.71;3.56;0.61;0.89;6.81;1.43;1.12;0.0;-0.3864999999999985
Entretien 01 24.10.03 01_traitement_A;Ça ne coupe pas réellement quand on n'a pas d'huile de coupe.;12;2.6;1.2;1.02;1.02;0.73;2.45;0.71;0.86;4.0;-0.39610000000000056
Entretien 01 24.10.03 01_traitement_A;Ça, c'est pour la coupe de verre.;7;1.97;1.02;0.87;0.74;0.7;1.33;0.73;0.91;0.0;-0.22160000000000024
Entretien 01 24.10.03 01_traitement_A;Et ensuite, pour la mise en plomb, on prend un couteau à plomb.;13;1.24;0.72;0.6;0.66;0.6;4.01;0.99;0.89;0.0;-0.33109999999999906
Entretien 01 24.10.03 01_traitement_A;C'est une espèce de serpette assez longue comme ça.;9;2.57;1.9;0.82;0.7;0.99;3.21;1.32;0.55;0.0;0.08970000000000233
Entretien 01 24.10.03 01_traitement_A;C'est un joli outil.;4;4.01;1.02;0.79;0.89;1.12;2.94;1.58;0.94;4.0;0.44980000000000286
Entretien 01 24.10.03 01_traitement_A;Du coup, on coupe le plomb avec le couteau à plomb.;11;0.74;0.79;0.56;0.63;0.38;3.63;0.95;0.88;0.0;-0.3474999999999988
Entretien 01 24.10.03 01_traitement_A;C'est tout ce qu'on utilise pour la mise en plomb.;10;2.54;0.82;0.82;0.69;0.82;3.9;0.97;1.04;0.0;0.21520000000000206
Entretien 01 24.10.03 01_traitement_A;Quand on a fini le vitrail, on vient rabattre les plombs avec un rabat-plomb.;14;1.93;1.53;0.94;0.82;0.51;3.0;1.0;1.0;0.0;-0.1746000000000032
Entretien 01 24.10.03 01_traitement_A;Ah oui, on peut aussi ouvrir les plombs avec un ouvre-plomb.;11;1.01;0.92;0.75;0.74;0.54;2.54;0.83;0.63;0.0;-0.33530000000000104
Entretien 01 24.10.03 01_traitement_A;C'est très...;2;4.82;0.83;1.2;2.25;1.9;0.5;1.28;2.62;3.0;0.2587000000000046
Entretien 01 24.10.03 01_traitement_A;On ne se casse pas la tête.;7;3.73;1.45;0.89;0.93;0.78;2.53;2.37;2.18;4.0;0.0672999999999977
Entretien 01 24.10.03 01_traitement_A;Il y a des mots un peu techniques, mais ça, c'est couteau à plomb, ouvre-plomb, rabat-plomb.;16;1.73;0.87;0.9;0.83;0.57;4.42;1.35;0.92;0.0;-0.8009000000000004
Entretien 01 24.10.03 01_traitement_A;Et du coup, on rabat tous les plombs.;8;3.6;0.58;1.04;0.93;0.9;2.36;0.97;1.18;4.0;0.2917999999999985
Entretien 01 24.10.03 01_traitement_A;Et ensuite, à chaque intersection, on vient mettre une petite goutte d'oléine.;12;3.56;1.55;1.07;0.81;1.72;4.03;0.99;0.87;0.0;0.13619999999999877
Entretien 01 24.10.03 01_traitement_A;C'est une graisse qui permet à l’étain d'adhérer.;8;1.77;1.17;0.92;0.71;1.28;3.84;1.32;1.32;0.0;-0.34310000000000107
Entretien 01 24.10.03 01_traitement_A;Et on prend une baguette d’étain avec le fer à souder et on vient faire une petite boule comme ça.;20;2.19;1.66;1.15;0.9;1.13;5.19;1.03;0.91;0.0;-0.27769999999999895
Entretien 01 24.10.03 01_traitement_A;Oui, ça fait une petite soudure.;6;2.07;0.86;0.49;0.63;0.69;2.26;1.02;1.24;0.0;0.0745000000000029
Entretien 01 24.10.03 01_traitement_A;Je ne sais pas s'il y a un exemple de vue.;11;5.31;1.42;1.23;1.34;1.65;4.44;5.79;3.29;2.0;0.6039000000000012
Entretien 01 24.10.03 01_traitement_A;Non, bon, ce n'est pas grave.;6;6.14;0.8;0.99;1.45;1.42;1.04;1.68;1.2;3.0;0.7960000000000029
Entretien 01 24.10.03 01_traitement_A;Réutilise le même outil ?;5;3.38;0.92;1.01;2.28;0.77;1.14;2.48;2.87;3.0;-0.18009999999999726
Entretien 01 24.10.03 01_traitement_A;Alors...;1;3.76;0.62;1.19;2.04;1.72;0.0;1.54;2.0;3.0;0.016100000000004666
Entretien 01 24.10.03 01_traitement_A;Des fois, j'utilise mon coupe-verre pour ouvrir mes plombs.;9;3.23;1.25;1.23;0.67;0.54;3.06;0.77;0.77;0.0;0.5831000000000022
Entretien 01 24.10.03 01_traitement_A;Mais bon, il n'y a pas beaucoup de monde qui le font.;12;5.83;1.77;1.84;2.23;1.73;4.47;3.45;1.57;3.0;0.9560000000000022
Entretien 01 24.10.03 01_traitement_A;Qu'est-ce que je fais d'autre avec le même outil?;9;4.33;0.72;0.95;3.04;1.0;1.93;2.17;1.91;3.0;-0.04979999999999496
Entretien 01 24.10.03 01_traitement_A;Euh...;1;3.18;1.38;1.91;2.77;2.2;0.21;2.15;2.19;3.0;-0.42250000000000343
Entretien 01 24.10.03 01_traitement_A;Par exemple, on réutilise les outils pour la restauration.;9;0.4;0.92;0.85;0.52;0.78;4.48;0.37;0.77;0.0;-1.3022999999999998
Entretien 01 24.10.03 01_traitement_A;On vient...;2;3.87;0.97;1.13;2.07;1.53;0.33;1.38;2.05;3.0;-0.026600000000001067
Entretien 01 24.10.03 01_traitement_A;Le vitrail déjà fait a déjà été coupé, déjà monté.;10;1.05;0.66;0.55;0.88;0.67;2.32;1.12;1.22;0.0;-0.5285999999999993
Entretien 01 24.10.03 01_traitement_A;Et on vient recouper une pièce de verre parce qu'il y a une casse.;14;3.6;1.49;1.3;0.85;1.47;4.68;1.05;1.01;0.0;0.14799999999999836
